CO_MUNICIPIO;doc_bas;doc_vinculo_contrat;pct_contratados
1508001;1127;771;68.4
1500958;356;185;52
1502301;1040;760;73.1
1503077;491;279;56.8
1503457;572;279;48.8
1505502;1455;655;45
1503507;531;226;42.6
1504059;531;234;44.1
1504950;400;192;48
1505403;281;206;73.3
1506559;253;157;62.1
1507607;1115;560;50.2
1503754;507;447;88.2
1502152;909;635;69.9
1504455;311;176;56.6
1505536;2653;448;16.9
1508308;1249;753;60.3
1505486;606;261;43.1
1505064;787;274;34.8
1501956;387;179;46.3
1506708;460;253;55
1503606;1697;1041;61.3
1506195;368;192;52.2
1504208;3265;700;21.4
1500347;190;120;63.2
1507805;372;263;70.7
1503804;468;45;9.6
1505031;405;195;48.1
1506138;987;195;19.8
1503093;453;171;37.7
1501782;503;259;51.5
1501006;315;190;60.3
1508050;212;128;60.4
1503705;606;330;54.5
1500602;2094;1424;68
1500859;602;431;71.6
1508357;356;285;80.1
1502764;235;137;58.3
1501725;319;271;85
1508159;497;354;71.2
1504976;151;63;41.7
1508100;1376;683;49.6
1500131;83;39;47
1501576;386;142;36.8
1502939;544;198;36.4
1506187;353;31;8.8
1508126;338;243;71.9
1505437;494;258;52.2
1501253;62;35;56.5
1502707;559;151;27
1507300;799;315;39.4
1508084;547;325;59.4
1502772;408;286;70.1
1502954;375;59;15.7
1501758;137;47;34.3
1507151;309;45;14.6
1505494;98;14;14.3
1507508;193;55;28.5
1505551;106;36;34
1506161;229;77;33.6
1507458;319;105;32.9
1505635;317;246;77.6
1508407;749;305;40.7
1507755;121;99;81.8
1503044;240;72;30
1506583;221;144;65.2
1600204;220;141;64.1
1600501;721;395;54.8
1600105;170;112;65.9
1600550;100;40;40
1600709;331;167;50.5
1600055;102;53;52
1600154;318;202;63.5
1600212;135;71;52.6
1600238;170;34;20
1600253;218;140;64.2
1600303;6590;1465;22.2
1600535;451;139;30.8
1600600;1827;603;33
1600279;811;439;54.1
1600808;250;129;51.6
1600402;636;453;71.2
1701002;137;86;62.8
1701051;57;27;47.4
1702208;477;169;35.4
1702554;321;150;46.7
1702901;194;43;22.2
1703800;152;74;48.7
1703826;32;9;28.1
1703891;63;37;58.7
1706506;80;39;48.8
1707405;162;68;42
1710706;81;23;28.4
1712801;55;32;58.2
1713809;80;59;73.8
1714302;91;38;41.8
1720002;52;38;73.1
1718303;194;102;52.6
1718550;61;41;67.2
1718808;61;32;52.5
1720101;143;111;77.6
1720200;205;127;62
1720309;63;22;34.9
1720804;217;124;57.1
1721208;385;209;54.3
1700301;78;34;43.6
1712454;47;29;61.7
1701309;78;41;52.6
1702109;2241;893;39.8
1702158;65;34;52.3
1702307;70;27;38.6
1703057;74;42;56.8
1703008;103;32;31.1
1703883;44;33;75
1705508;521;244;46.8
1707702;100;44;44
1713957;65;47;72.3
1718865;128;65;50.8
1714880;162;69;42.6
1715705;83;52;62.7
1716307;62;29;46.8
1717206;36;11;30.6
1722081;123;59;48
1722107;157;66;42
1700251;48;28;58.3
1701903;96;62;64.6
1703107;97;43;44.3
1703206;84;44;52.4
1703602;31;14;45.2
1703909;74;51;68.9
1706001;105;72;68.6
1707108;101;74;73.3
1713700;35;26;74.3
1707207;95;75;78.9
1708304;84;46;54.8
1709302;303;124;40.9
1716703;119;37;31.1
1721257;29;20;69
1711100;32;12;37.5
1711803;50;37;74
1712504;68;42;61.8
1713205;261;104;39.8
1713304;178;117;65.7
1716653;83;44;53
1718402;34;18;52.9
1718709;44;30;68.2
1721307;31;21;67.7
1702000;108;43;39.8
1706100;70;30;42.9
1718899;43;22;51.2
1707306;47;40;85.1
1707553;61;43;70.5
1715507;21;17;81
1708205;333;191;57.4
1711902;262;160;61.1
1715002;49;21;42.9
1716109;685;318;46.4
1718451;47;25;53.2
1717503;109;71;65.1
1718840;75;52;69.3
1700350;80;53;66.2
1700707;128;71;55.5
1720978;47;10;21.3
1703701;74;42;56.8
1703867;71;29;40.8
1707652;61;43;70.5
1709500;1268;404;31.9
1718204;1001;395;39.5
1711506;47;18;38.3
1715754;113;51;45.1
1716604;96;27;28.1
1720259;86;34;39.5
1720853;25;14;56
1701101;61;36;59
1703305;53;26;49.1
1712009;66;40;60.6
1713601;104;66;63.5
1716505;218;129;59.2
1709807;36;21;58.3
1718881;43;32;74.4
1720655;87;49;56.3
1721000;3819;909;23.8
1721109;281;246;87.5
1703842;161;95;59
1704105;22;8;36.4
1709005;292;200;68.5
1703073;87;60;69
1710508;168;116;69
1710904;41;24;58.5
1711951;69;31;44.9
1712405;45;27;60
1712702;45;31;68.9
1715101;55;31;56.4
1717909;108;34;31.5
1718501;65;39;60
1718758;90;65;72.2
1719004;50;30;60
1720150;31;21;67.7
1700400;124;68;54.8
1702406;201;91;45.3
1702703;43;22;51.2
1712157;34;19;55.9
1705557;83;36;43.4
1705607;64;49;76.6
1707009;277;130;46.9
1714203;153;83;54.2
1705102;34;21;61.8
1715150;23;13;56.5
1715259;39;28;71.8
1716208;183;111;60.7
1717008;70;41;58.6
1717800;85;66;77.6
1718006;43;24;55.8
1718659;38;26;68.4
1718907;85;62;72.9
1720499;83;54;65.1
1720903;183;78;42.6
1720937;36;25;69.4
1708254;62;22;35.5
1706258;28;18;64.3
1704600;20;14;70
2100204;415;250;60.2
2101301;364;196;53.8
2100832;375;179;47.7
2101905;331;200;60.4
2102408;187;97;51.9
2101350;96;53;55.2
2109056;141;83;58.9
2103109;163;89;54.6
2103703;510;214;42
2111789;288;143;49.7
2104909;188;77;41
2106805;313;105;33.5
2103125;204;183;89.7
2107506;2107;513;24.3
2109452;561;276;49.2
2111201;3463;1302;37.6
2111300;14770;2576;17.4
2101103;281;152;54.1
2105104;612;292;47.7
2107100;434;187;43.1
2102374;250;129;51.6
2109205;257;127;49.4
2109601;851;382;44.9
2101251;430;283;65.8
2110203;795;607;76.4
2101707;1300;891;68.5
2108058;506;302;59.7
2110104;855;456;53.3
2105005;563;366;65
2110278;384;171;44.5
2109403;393;308;78.4
2112506;982;347;35.3
2100709;382;288;75.4
2101004;694;326;47
2102507;451;312;69.2
2106508;470;214;45.5
2107456;294;180;61.2
2106904;651;283;43.5
2107605;416;239;57.5
2108306;585;370;63.2
2108256;658;396;60.2
2108405;237;80;33.8
2108603;1604;701;43.7
2109270;511;330;64.6
2109809;846;479;56.6
2112456;622;408;65.6
2110500;669;440;65.8
2111003;386;126;32.6
2111706;410;266;64.9
2112803;898;590;65.7
2101772;353;219;62
2112902;551;306;55.5
2103554;354;186;52.5
2105153;505;446;88.3
2106631;304;189;62.2
2102705;486;307;63.2
2105401;1223;836;68.4
2106755;335;255;76.1
2107209;344;238;69.2
2108801;245;104;42.4
2103604;1088;545;50.1
2109304;309;237;76.7
2112704;1101;610;55.4
2106375;372;334;89.8
2104677;488;182;37.3
2102606;504;402;79.8
2102903;524;294;56.1
2103174;448;215;48
2101970;232;122;52.6
2106326;404;256;63.4
2103158;415;395;95.2
2104305;227;163;71.8
2100550;279;221;79.2
2105658;161;107;66.5
2106201;157;52;33.1
2112407;886;491;55.4
2100402;176;88;50
2102150;275;202;73.5
2102002;859;513;59.7
2111029;247;165;66.8
2105708;955;426;44.6
2105963;300;149;49.7
2108108;512;308;60.2
2106359;178;96;53.9
2108504;805;320;39.8
2112274;163;90;55.2
2109908;1735;384;22.1
2110005;1033;511;49.5
2100477;695;475;68.3
2102325;1318;944;71.6
2102036;525;369;70.3
2110039;478;168;35.1
2107357;317;181;57.1
