CO_MUNICIPIO;doc_bas;doc_fund_ai;doc_fund_af;doc_med;doc_vinculo_contrat;pct_contratados;Anos Finais;Anos Iniciais;Ensino Médio
1302306;656;228;183;110;473;72.1;4;4.9;3.1
1302405;899;286;349;137;634;70.5;4;5.4;3.6
1302504;1685;520;595;439;916;54.4;4.7;5.6;3.4
1302553;386;123;141;106;224;58;4.4;4.8;3.3
1302603;18357;5532;6349;4083;797;4.3;5.1;6.4;3.9
1302702;1194;325;466;235;739;61.9;4.8;5.5;3.3
1302801;642;170;207;107;468;72.9;3.6;4.4;2.7
1302900;1411;304;625;242;879;62.3;4.2;5.4;3.1
1303007;441;84;173;114;231;52.4;4.7;5.6;3.5
1303106;644;211;244;128;472;73.3;4.3;5.3;3.4
1303205;352;98;96;77;140;39.8;5.1;6.1;3.4
1303304;459;155;158;121;158;34.4;4;4.8;3.3
1303403;1774;441;679;453;710;40;5;6;4
1303502;409;134;145;74;114;27.9;3.9;4.4;3.3
1303536;658;175;177;158;353;53.6;4.5;5.3;3.5
1303569;444;122;161;89;300;67.6;4.8;5.5;2.9
1303601;548;149;223;121;373;68.1;4.2;5;3.2
1303700;1072;303;236;184;754;70.3;3.8;5.4;3.2
1303809;1566;479;588;396;801;51.1;4.1;4.7;3
1303908;919;288;355;168;469;51;4.3;5.2;3
1303957;263;71;64;77;118;44.9;4.7;5.7;3.9
1304005;408;112;124;98;200;49;4.5;5;3.5
1304062;1219;366;389;277;451;37;4.4;5.1;3.1
1304104;514;188;143;56;304;59.1;4.7;5.9;3.8
1304203;1826;454;612;291;1224;67;4.7;5.5;3.5
1304237;600;174;176;115;385;64.2;3.9;4.2;2.9
1304260;517;96;195;99;350;67.7;4.1;4.1;2.8
1304302;323;73;118;104;159;49.2;4.9;6;3.7
1304401;517;143;176;90;185;35.8;4.2;4.7;3.6
1400027;348;84;166;118;186;53.4;;4.6;3.4
1400050;371;115;169;97;248;66.8;3.5;4.7;3.3
1400100;4857;1678;1358;1078;1104;22.7;4.4;6.1;3.8
1400159;387;110;163;114;90;23.3;4.1;4.6;3.1
1400175;396;138;193;129;131;33.1;;5.2;3.2
1400209;359;128;117;91;100;27.9;3.9;4.9;3.7
1400233;164;55;75;48;102;62.2;4;5.2;3.5
1400282;134;44;59;48;75;56;4;4.9;3.4
1400308;298;109;100;79;91;30.5;3.6;5.1;3.6
1400407;621;119;303;153;365;58.8;3.6;4.5;2.9
1400456;594;161;308;151;328;55.2;;5.1;3
1400472;471;187;135;103;224;47.6;4;5.1;3.2
1400506;132;37;52;25;59;44.7;;5.1;
1400605;133;46;51;37;106;79.7;4.3;5;4
1400704;634;156;368;166;473;74.6;;4.5;2.7
1500107;2498;566;983;450;1258;50.4;4.8;5;4.3
1500131;83;34;26;10;39;47;4.2;6.4;4.5
1500206;792;219;411;69;274;34.6;4.1;5.4;3.8
1500305;942;317;402;78;479;50.8;4.3;4.6;4.4
1500347;179;49;64;24;120;67;4.6;4.9;4
1500404;835;340;379;151;155;18.6;4.5;5.1;4.1
1500503;749;230;313;110;441;58.9;4.2;4.5;4.1
1500602;1875;351;982;174;1424;75.9;4.6;5.3;4.6
1500701;709;222;330;75;402;56.7;3.6;4;3.6
1500800;3556;1063;1186;916;1305;36.7;5.1;6.1;4.5
1500859;577;85;348;44;431;74.7;4;4.7;4.4
1500909;633;184;278;52;266;42;4.2;5.1;4
1500958;348;100;154;40;185;53.2;5;6.1;4.1
1501006;315;75;179;32;190;60.3;4.1;4.9;3.2
1501105;459;141;186;81;368;80.2;4.9;5.3;4.2
1501204;557;149;246;66;198;35.5;4;4.9;3.8
1501253;62;21;22;11;35;56.5;4.6;5.2;3.9
1501303;1206;356;469;196;522;43.3;4.3;5.1;4.1
1501402;8722;2276;2734;2538;1988;22.8;5;5.8;4.6
1501451;288;47;163;31;168;58.3;5.4;6;4.2
1501501;744;247;223;134;506;68;5.3;7;4.6
