CO_MUNICIPIO;doc_bas;doc_fund_ai;doc_fund_af;doc_med;doc_vinculo_contrat;pct_contratados;Anos Finais;Anos Iniciais;Ensino Médio
2408409;60;15;22;14;46;76.7;4.6;4.4;4.1
2408508;45;12;25;16;8;17.8;5.5;6.9;4.1
2408607;51;12;25;15;21;41.2;5;4.9;4.3
2408706;59;16;23;13;22;37.3;3.6;;4.5
2408805;97;30;37;12;33;34;4.6;4.9;3.7
2408904;289;71;92;70;80;27.7;4.8;6.3;4.7
2408953;143;43;38;28;98;68.5;4.3;4.5;3.7
2409100;187;45;56;27;120;64.2;4.5;4.9;3.4
2409209;52;12;13;8;13;25;3.8;4.7;3.9
2409308;135;38;42;30;76;56.3;4.4;5.5;4.2
2409332;72;11;27;12;30;41.7;3.5;4.7;3.5
2409407;355;90;90;99;95;26.8;5;6.2;5.4
2409506;66;17;24;9;38;57.6;4.1;5;4
2409605;35;13;8;5;15;42.9;4.1;4.8;4
2409704;108;34;33;17;40;37;4.1;5.2;3.6
2409803;180;41;61;32;22;12.2;3.6;4.3;3.6
2409902;144;39;57;28;80;55.6;4.7;5.1;3.8
2410009;49;17;17;10;20;40.8;5.2;6.2;4.5
2410108;119;30;37;21;54;45.4;3.7;3.9;3.6
2410207;119;30;56;16;38;31.9;4.6;5.4;4.5
2410256;92;24;38;15;51;55.4;4.3;5;4
2410306;145;27;56;23;58;40;3.8;4.9;3.6
2410405;136;54;41;14;88;64.7;4.2;4.9;3.5
2410504;60;18;22;15;27;45;5.2;5.5;4.3
2410603;66;11;19;13;29;43.9;5.8;6.4;4.6
2410702;59;21;11;13;32;54.2;;4.7;5
2410801;57;19;18;14;32;56.1;5;5.5;4.4
2410900;94;26;28;16;47;50;4.1;4.7;3.9
2411007;65;21;17;13;9;13.8;4.5;5.9;4
2411056;67;21;34;20;45;67.2;4.1;5.3;3.9
2411106;48;7;12;8;12;25;4.7;6.4;3.7
2411205;402;83;124;116;156;38.8;3.9;4.9;4.5
2411403;161;49;75;21;63;39.1;4.8;5.2;4.2
2411429;35;9;14;13;13;37.1;3.9;6.4;4.5
2411502;219;48;97;46;72;32.9;3.9;5.3;3.8
2411601;73;29;13;14;52;71.2;4.4;4.7;4.1
2411700;45;10;25;17;7;15.6;4.8;4.6;4.2
2411809;63;24;15;10;40;63.5;5;5.8;4.9
2411908;58;14;14;12;35;60.3;4.5;5.7;4.5
2412005;928;236;282;250;173;18.6;3.8;4.7;4.3
2412104;76;22;25;17;29;38.2;5.5;6.5;4.6
2412203;520;173;172;79;264;50.8;3.7;5.2;3.8
2412302;149;37;46;23;66;44.3;3.8;4.8;3.7
2412401;62;13;12;12;28;45.2;4.7;5.7;4.2
2412500;252;71;91;29;39;15.5;4.4;6.2;4.2
2412559;163;41;63;21;106;65;3.9;4.8;2.7
2412609;215;39;41;82;66;30.7;3.7;4.7;4.4
2412708;103;18;51;20;38;36.9;4.4;4.9;3.6
2412807;61;18;23;17;23;37.7;4.5;5.3;4.3
2412906;149;23;33;17;71;47.7;3.8;4.7;3.5
2413003;73;21;33;16;33;45.2;4.2;5.9;3.5
2413102;76;31;22;11;19;25;4;5;4.2
2413201;65;21;19;8;17;26.2;3.9;5;3.4
2413300;71;24;21;15;32;45.1;4.4;6.5;3.9
2413359;178;39;67;25;33;18.5;4.4;5.7;3.9
2413409;91;25;36;15;33;36.3;4;5;4.1
2413508;85;25;26;22;27;31.8;4.3;5.7;3.5
2413557;88;38;23;11;47;53.4;6;6.3;4.9
2413607;81;31;19;15;22;27.2;4.7;4.8;3.7
2413706;67;16;22;13;36;53.7;4.7;5.1;3.5
2413805;31;8;11;5;9;29;4.6;6;4.2
2413904;124;32;48;18;58;46.8;3.3;4.7;3.4
2414001;161;34;50;23;63;39.1;4.3;4.4;4.1
2414100;144;39;42;15;79;54.9;5;6.5;3.8
2414159;103;26;26;15;44;42.7;4.5;4.8;3.8
2414209;167;64;50;30;82;49.1;4.6;5;3.7
2414308;31;8;7;10;24;77.4;5.2;5.4;4.4
2414407;346;109;100;45;127;36.7;3.8;4.9;3.6
2414456;62;14;30;13;25;40.3;4.2;4.8;4.2
2414506;154;53;36;16;78;50.6;4.2;6;4.8
2414605;126;19;65;20;55;43.7;4.8;5.2;4.3
2414704;60;17;16;11;26;43.3;3.9;4.6;4
2414753;69;11;23;8;6;8.7;4.5;5.1;4.3
2414803;162;43;52;26;58;35.8;4;5.1;3.5
2414902;31;7;7;7;17;54.8;4.8;6.4;3.9
2415008;51;15;21;8;26;51;3.4;4.4;3.9
2500106;135;24;47;22;64;47.4;5.5;7.4;4.6
2500205;84;14;22;17;47;56;5.2;6.6;5
2500304;302;99;113;55;113;37.4;4.1;5.4;4.1
2500403;333;94;92;60;187;56.2;4.2;5.9;4.1
2500502;174;44;54;30;129;74.1;3.9;5.5;3.7
2500536;99;27;41;11;62;62.6;4.2;5.9;5.2
2500577;45;13;14;8;17;37.8;4.2;5.4;4
2500601;386;85;161;112;227;58.8;3.9;5.2;3.4
2500700;383;73;77;44;288;75.2;4.8;6.3;4.1
2500734;43;10;19;7;14;32.6;5.3;;4.4
2500775;113;24;41;17;35;31;5.3;6.4;4.6
2500809;237;40;81;38;50;21.1;4.3;5;4.2
2500908;189;47;64;52;117;61.9;3.9;5.5;4.2
2501005;247;61;88;39;71;28.7;4.4;5.5;4
2501104;367;88;124;65;180;49;4;5.2;4.3
2501153;38;12;13;6;10;26.3;4.8;5.5;4.1
2501203;138;28;64;17;55;39.9;5;6.6;4.3
2501302;286;76;113;50;127;44.4;5.3;5.6;4.2
2501351;81;18;36;13;41;50.6;4.8;6.3;4.5
2501401;245;67;103;50;218;89;4.4;5.5;3.6
2501500;365;57;94;102;156;42.7;4.1;6.1;4.4
2501534;71;21;20;13;29;40.8;5.1;6.5;4.7
2501575;132;42;45;25;39;29.5;5.3;6.6;4
2501609;169;28;47;30;74;43.8;4.6;6;4.2
2501708;141;40;41;17;68;48.2;5.5;7;4.4
2501807;809;224;241;149;532;65.8;3.8;5;3.7
2501906;166;41;56;39;32;19.3;4.5;5.7;4.2
2502003;105;21;36;24;75;71.4;4.9;5.9;4.6
2502052;120;24;32;12;35;29.2;6.3;7.2;4.5
2502102;72;23;19;13;19;26.4;3.7;4.9;4.4
2502151;96;23;34;13;46;47.9;4.5;6.9;4.3
2502201;66;12;16;9;39;59.1;5.4;6.1;3.8
2502300;75;15;19;12;31;41.3;4.3;5.8;4.8
2502409;134;32;49;27;51;38.1;5.1;5.7;4.2
2502508;191;35;99;40;75;39.3;4.2;6;4.2
2502607;67;16;36;22;21;31.3;5.1;5.6;4.8
2502706;84;26;30;20;31;36.9;3.8;4.1;4.4
2502805;222;39;61;24;131;59;5.2;6.4;4.2
2502904;84;19;24;15;28;33.3;4.7;5.2;4.4
2503001;249;69;81;41;129;51.8;4;4.6;3.3
2503100;102;29;24;22;72;70.6;5.9;8.5;4.9
2503209;689;169;201;184;65;9.4;4.7;6.5;4
2503308;110;19;36;25;35;31.8;3.9;5.5;4.2
2503407;51;9;24;7;29;56.9;4.9;5.8;4.7
2503506;175;49;63;34;58;33.1;5.1;5.7;4.1
2503555;141;29;58;17;54;38.3;4.8;5.3;4.1
2503605;108;20;32;20;39;36.1;3.7;5.2;4.8
2503704;721;122;188;236;281;39;4.6;6.4;4.5
2503753;63;11;19;12;16;25.4;5.4;6.6;4.4
2503803;112;25;30;22;44;39.3;5.4;6.1;4.4
2503902;100;18;32;17;36;36;5;5.9;4.3
2504009;4067;922;1358;1118;1853;45.6;4.8;6;4.6
2504033;99;25;39;19;23;23.2;4.9;6.3;4.2
2504074;92;19;42;12;40;43.5;5.3;5.7;5
2504108;59;11;13;9;38;64.4;5.6;7.1;4.7
2504157;93;27;33;14;17;18.3;4.6;6.4;4.1
2504207;68;19;18;13;37;54.4;4.5;5.2;4.5
2504306;303;54;68;100;65;21.5;5;5.7;5.2
2504355;99;23;40;15;31;31.3;5.3;6.7;4.5
2504405;249;53;98;35;65;26.1;4.1;5.3;4.2
2504504;84;24;34;19;36;42.9;4.9;5.1;4.7
2504603;456;106;166;50;100;21.9;4.7;6.4;3
2504702;86;19;25;15;38;44.2;5.9;7.7;4.3
2504801;155;39;46;31;63;40.6;4.6;5.6;4.5
2504850;35;14;12;8;24;68.6;6;7.6;4.3
2504900;253;67;94;41;186;73.5;3.8;4.4;3.6
2505006;107;18;28;31;42;39.3;6;7.4;4.1
2505105;274;61;78;93;148;54;5.4;7.2;4.5
2505204;90;18;20;12;24;26.7;3.3;5.1;4.2
2505238;114;27;34;11;83;72.8;4.2;5.5;3.8
2505279;94;21;31;14;31;33;5.4;5.5;3.5
2505303;45;9;10;8;17;37.8;5.1;6.7;4.4
2505352;92;17;29;19;31;33.7;4.6;6;4.6
2505402;125;30;43;23;85;68;4.5;5.3;4.4
2505501;59;15;17;11;11;18.6;;;4.9
2505600;86;22;34;15;39;45.3;4.5;5.3;4.6
2505709;118;27;38;22;23;19.5;5.3;6.7;4.1
2505808;76;10;34;9;28;36.8;5.3;6;3.9
2505907;68;20;12;17;27;39.7;4.5;6.4;4.2
2506004;433;84;140;97;227;52.4;4.9;6.4;4.3
2506103;167;34;70;28;56;33.5;4.1;5.4;4.1
2506202;34;7;9;9;13;38.2;3.6;6;4.4
2506251;137;39;47;17;54;39.4;4.8;6.5;3.9
2506301;628;124;199;194;271;43.2;4.4;5.9;4.5
2506400;254;51;83;16;110;43.3;4.3;4.5;3.2
2506509;57;15;12;9;25;43.9;4.4;5.6;4.3
2506608;78;14;31;13;54;69.2;4;5.7;4.2
2506707;146;28;65;20;67;45.9;4.3;5;3.8
2506806;269;82;77;47;175;65.1;4.1;5.4;4.1
2506905;308;67;88;96;145;47.1;4.9;5.8;4.2
2507002;247;49;81;73;96;38.9;4.5;5.6;4.7
2507101;265;65;76;48;126;47.5;4.1;6;3.5
2507200;145;30;46;21;89;61.4;4.4;5.3;4.2
2507309;207;42;59;36;82;39.6;;5.7;3.9
2507408;121;24;35;9;82;67.8;5.1;6.3;5.7
2507507;5999;1713;1695;1562;3436;57.3;4.6;5.7;4.3
2507606;113;31;27;20;57;50.4;4.3;6;4.1
2507705;235;79;63;44;88;37.4;4.9;5.3;4.2
2507804;94;21;32;21;19;20.2;4.2;5.1;4.1
2507903;156;31;62;46;45;28.8;4.4;5.7;3.8
2508000;104;21;40;15;40;38.5;6.3;6.5;5.2
2508109;82;10;30;23;34;41.5;5.2;5.7;4.7
2508208;147;21;64;28;32;21.8;4.3;5.1;4.3
2508307;331;71;111;56;153;46.2;4.9;6;3.8
2508406;51;13;15;13;14;27.5;4.7;6.7;4.4
2508505;128;30;59;18;34;26.6;4.8;6;4.9
2508554;75;22;22;11;37;49.3;5.4;5.6;4.1
2508604;191;65;45;35;99;51.8;3.9;5;3.4
2508703;49;12;20;9;21;42.9;4.8;6.4;4.2
2508802;73;21;18;11;24;32.9;4.7;5.9;4.1
2508901;484;145;150;110;122;25.2;4.9;7;4.1
2509008;133;40;39;17;46;34.6;5.6;6.1;4.6
2509057;262;87;107;68;195;74.4;4;4.1;3.5
2509107;300;66;67;35;182;60.7;4.2;5.2;3.5
2509156;136;32;39;15;74;54.4;5;5.7;4.3
2509206;161;41;45;35;48;29.8;4.5;5.2;4.1
2509305;164;47;40;17;81;49.4;5.5;5.4;4.1
2509339;110;25;49;23;61;55.5;4.9;6.1;3.9
2509370;57;10;10;7;26;45.6;5.1;6.6;
2509396;81;21;22;18;45;55.6;5.4;6.7;4
2509404;187;41;68;25;114;61;4.4;6.1;4
2509503;91;19;33;13;52;57.1;5;6.5;4.5
2509602;88;14;25;14;44;50;5.2;6.3;4
2509701;493;96;140;140;233;47.3;5.1;7;4.3
2509800;180;36;63;30;153;85;4.3;5.7;4
2509909;216;40;77;23;149;69;4.9;5.3;3.7
2510006;69;15;26;16;28;40.6;4.7;5.9;4.5
2510105;102;28;25;28;55;53.9;5.2;5.8;4.8
2510204;112;26;38;24;55;49.1;4.9;6;4.7
2510303;60;15;12;23;31;51.7;6.5;7.5;5.3
2510402;96;26;27;16;33;34.4;4.4;5.3;3.9
2510501;68;15;23;13;36;52.9;4.8;6.3;4.3
2510600;47;12;12;10;24;51.1;4.3;6.1;4.5
2510659;40;9;18;10;17;42.5;5.3;6.8;5.2
2510709;48;15;17;8;23;47.9;4.5;5.9;4.1
2510808;1175;221;309;269;650;55.3;5;6.8;4.7
2510907;182;41;51;34;133;73.1;5.1;6.3;4.8
2511004;82;22;19;13;29;35.4;4.5;6;4.5
2511103;123;32;25;21;66;53.7;5.8;6.8;4.4
2511202;377;96;109;70;281;74.5;4.6;5.9;4.6
2511301;152;38;54;18;15;9.9;4.3;5.1;4
2511400;295;71;71;99;57;19.3;5.2;6.6;4.8
2511509;166;36;65;19;85;51.2;4.7;5.6;4.1
2511608;111;25;40;25;55;49.5;4.3;5.9;4
2511707;77;18;25;11;25;32.5;4;4.9;4.3
2511806;113;23;50;33;52;46;4;5;4.1
2511905;252;68;86;27;130;51.6;4.3;5.6;3.8
2512002;293;95;107;30;162;55.3;5.5;6.3;4.5
2512036;123;28;39;12;57;46.3;4.7;5.6;4.9
2512077;127;17;33;15;62;48.8;5.1;6;4.7
2512101;443;77;125;125;170;38.4;5.6;7.7;4.8
2512200;73;18;29;18;34;46.6;5;5.9;4.1
2512309;260;50;57;90;107;41.2;6;8;4.6
2512408;258;52;73;69;148;57.4;;6.4;4.3
2512507;573;166;140;111;346;60.4;6.3;8.5;4.1
2512606;35;10;12;8;13;37.1;5.1;6.8;3.7
2512705;240;65;83;44;110;45.8;4.1;5.7;3.9
2512721;79;13;31;12;32;40.5;5;5.4;4.4
2512747;59;11;20;13;22;37.3;4.5;6.9;4.4
2512754;123;27;40;12;96;78;4.7;5;3.8
2512762;81;18;27;11;40;49.4;3.8;5;3.9
2512788;51;12;17;11;25;49;4.8;6.2;4.5
2512804;122;35;26;15;36;29.5;4.7;6.5;5.3
2512903;337;84;116;81;190;56.4;4.4;5.5;3.9
2513000;62;15;24;12;22;35.5;4.2;6.8;4.1
2513109;213;30;98;32;113;53.1;4.6;5.4;3.9
2513158;95;19;33;15;38;40;4.9;6;4.3
2513208;72;18;24;13;19;26.4;5;6.8;4.7
2513307;90;16;23;24;31;34.4;4.6;5.8;4.5
2513356;52;11;17;9;16;30.8;3.5;5.2;3.5
2513406;199;45;57;55;98;49.2;5;6.3;4.4
2513505;90;19;32;26;29;32.2;5.5;6.3;3.9
2513604;96;22;30;11;48;50;4.3;5.2;4.5
2513653;88;9;15;8;23;26.1;4.9;5.9;4.7
2513703;1092;305;399;255;425;38.9;4.1;4.7;3.6
2513802;53;15;14;14;11;20.8;5.1;;4.9
2513851;45;11;13;10;22;48.9;5.3;5.4;4.4
2513901;504;91;114;54;350;69.4;4.8;6.3;4.6
2513927;62;12;19;9;36;58.1;5;6.5;4.5
2513943;48;13;11;15;22;45.8;6;8;5
2513968;49;10;14;10;32;65.3;5.1;7.1;4.5
2513984;61;18;16;12;26;42.6;5.6;7.5;5
2514008;105;18;47;18;70;66.7;5;5.5;4.3
2514107;74;16;34;5;14;18.9;4.6;4.5;4
2514206;84;20;32;17;18;21.4;4.7;6.1;4
2514305;87;19;16;20;23;26.4;4.5;6.7;3.6
2514404;60;16;18;12;17;28.3;4.8;6.2;4.3
2514453;137;28;49;19;89;65;5.3;6;3.9
2514503;200;39;55;38;39;19.5;4.1;6;3.9
2514552;42;12;22;12;16;38.1;5.2;;4.2
2514602;45;9;19;9;22;48.9;5.6;6.3;3.9
2514651;39;8;8;7;10;25.6;5.5;4.7;4.2
2514701;70;14;19;12;41;58.6;6;6.7;3.7
2514800;57;16;21;12;32;56.1;4.5;6.2;4.5
2514909;107;28;38;13;29;27.1;5;6.5;4.8
2515005;128;20;57;26;77;60.2;4.5;5.9;4.2
2515104;136;23;66;24;76;55.9;5.1;5.9;4.1
2515203;57;16;15;8;22;38.6;5.3;6.2;4.1
2515302;482;109;164;91;252;52.3;4.3;5;3.7
2515401;188;40;68;41;106;56.4;4.5;5.7;4
2515500;166;53;49;47;56;33.7;4.8;6.6;4.6
2515609;73;15;23;10;38;52.1;4.5;6;4
2515708;41;12;12;9;12;29.3;5.5;6.5;4.1
2515807;112;27;57;22;73;65.2;3.9;5.2;4.2
2515906;74;18;32;12;40;54.1;3.9;5.5;4.5
2515930;106;21;40;16;45;42.5;5.1;5.6;4.6
2515971;153;23;82;18;63;41.2;4.6;6.4;3.9
2516003;271;81;90;61;48;17.7;4.2;5.5;4
2516102;184;50;48;39;93;50.5;4.7;5.9;4.1
2516151;62;18;17;11;35;56.5;4.9;6.2;4.9
2516201;798;158;295;320;400;50.1;5.1;6.7;4.8
2516300;198;37;80;34;41;20.7;5.2;6.6;4
2516409;148;26;49;21;58;39.2;4.1;5.6;4.3
2516508;240;56;124;56;186;77.5;5.1;5.8;4.5
2516607;204;72;78;27;100;49;5.2;6.4;5.2
2516706;184;42;67;29;114;62;4.5;6.2;4.4
2516755;67;17;17;9;20;29.9;5.1;5.4;4.4
2516805;219;39;37;24;166;75.8;5.2;6.1;4.6
2516904;260;54;91;53;164;63.1;5;5.7;4.4
2517001;199;54;58;22;132;66.3;4.4;6.7;4
2517100;43;10;13;9;11;25.6;5.8;7.3;4.1
2517209;79;22;23;12;32;40.5;5.6;5.4;4.7
2517407;48;15;13;5;29;60.4;5.2;6.2;3.4
2600054;667;207;171;186;48;7.2;4.7;5.2;4.7
2600104;418;100;123;94;207;49.5;5.3;6.4;4.9
2600203;208;56;66;37;90;43.3;4.8;7.2;4.6
2600302;242;57;89;31;131;54.1;5;5.5;4.5
2600401;301;67;92;49;207;68.8;4.4;5.2;4.8
2600500;422;131;126;100;245;58.1;4.8;5.1;4.5
2600609;148;56;40;23;115;77.7;4.2;5.5;4.6
2600708;496;70;103;61;358;72.2;4.1;4.8;4.6
2600807;200;60;64;40;135;67.5;4.7;5.9;5
2600906;197;47;55;38;130;66;4.7;6.1;5.2
2601003;118;31;45;18;85;72;4.8;5.6;4.3
2601052;206;60;53;30;142;68.9;4.2;5.2;4.4
2601102;826;225;211;204;389;47.1;4.4;4.9;4.7
2601201;693;187;172;141;318;45.9;5.1;5.7;4.8
2601300;89;28;27;13;37;41.6;7;7.9;4
2601409;414;93;136;150;234;56.5;4.6;5.1;4.8
2601508;157;28;58;28;115;73.2;6.4;5.4;5.3
2601607;215;41;81;75;89;41.4;4.3;5.1;4.8
2601706;856;175;265;195;409;47.8;4.8;5;4.9
2601805;163;65;59;18;81;49.7;6.7;6;3.8
2601904;493;130;153;91;223;45.2;5.1;5.7;5.1
2602001;381;124;158;59;161;42.3;4.6;4.8;4.7
2602100;456;121;128;78;156;34.2;4.8;5.4;4.7
2602209;373;103;105;50;246;66;6.3;6.5;5.3
2602308;404;89;158;89;196;48.5;5.5;7;4.7
2602407;122;32;45;18;53;43.4;4.6;6.2;5.4
2602506;87;31;20;18;49;56.3;5.4;6.7;4.8
2602605;412;114;126;46;15;3.6;3.9;5;4.7
2602704;150;40;59;20;86;57.3;4.9;5.3;4.5
2602803;563;159;206;123;372;66.1;4.9;5.8;4.6
2602902;1894;543;600;377;673;35.5;4.5;5.2;4.7
2603009;552;130;177;123;436;79;5;6.1;4.4
2603108;175;53;61;42;61;34.9;5.2;5.9;4.5
2603207;318;102;87;50;245;77;5;6.4;4.4
2603306;132;24;53;16;87;65.9;5;5.2;4.6
2603405;72;24;14;12;31;43.1;5;6.2;4.8
2603454;892;258;247;254;330;37;4.9;5.8;4.6
2603504;152;44;50;14;36;23.7;4.7;5.8;4.9
2603603;73;17;16;16;41;56.2;4.2;5.3;4.5
2603702;300;63;114;38;197;65.7;4.9;5.9;4.8
2603801;221;72;60;27;184;83.3;4.8;6.1;4.5
2603900;291;71;69;49;130;44.7;5.8;7.1;5.5
2603926;481;91;249;140;455;94.6;6.6;7.4;6.4
2604007;632;167;180;157;288;45.6;4.9;5.8;5
2604106;2752;684;864;589;1230;44.7;5.2;6.1;4.9
2604155;198;46;52;21;97;49;7.1;8;4.3
2604205;335;78;117;89;174;51.9;4;5.2;4.7
2604304;135;29;52;29;78;57.8;4.8;5.2;4.6
2604403;155;48;59;18;117;75.5;4.2;5.2;4.5
2604502;233;85;44;23;93;39.9;3.8;5.7;5.4
2604601;196;53;54;42;96;49;4.6;5;4.8
2604700;179;56;49;35;102;57;4.6;5.6;4.9
2604809;128;34;43;24;56;43.8;5.7;6.2;5.6
2604908;181;33;60;25;121;66.9;5.3;6.5;4.9
2605004;278;62;89;43;131;47.1;5.5;6.8;5.1
2605103;653;206;169;68;501;76.7;6.4;8.4;4.6
2605152;177;50;65;33;64;36.2;5.6;6.8;4.7
2605202;521;119;174;105;241;46.3;4.3;5.2;4.5
2605301;407;113;147;85;138;33.9;4.5;6.2;4.2
2605400;198;55;74;36;85;42.9;5.3;6.1;4.8
2605459;27;6;9;10;5;18.5;5.7;6.6;4.8
2605509;87;19;26;17;21;24.1;4.8;5.4;4.3
2605608;217;50;97;43;118;54.4;5.4;6.3;5.2
2605707;628;97;180;161;316;50.3;4.8;6.8;4.6
2605806;164;38;54;28;76;46.3;4.8;5.7;4.8
2605905;233;52;71;36;157;67.4;5.3;6.4;4.2
2606002;1235;347;400;331;338;27.4;5.2;6;5.2
2606101;283;81;103;42;200;70.7;4.7;5.7;5
2606200;756;228;169;131;317;41.9;4;4.8;4.6
2606309;107;39;37;11;31;29;5.5;5.5;4.7
2606408;532;139;178;130;272;51.1;4.8;5.3;5.1
2606507;210;63;54;36;136;64.8;4.8;5.3;4.6
2606606;319;90;134;53;177;55.5;5;5.5;4.7
2606705;93;28;29;14;32;34.4;5.1;5.8;4.6
2606804;917;271;249;160;536;58.5;4.9;6;4.5
2606903;146;32;56;22;100;68.5;6.1;6.3;4.7
2607000;367;104;103;64;258;70.3;5.7;6.5;6.4
2607109;67;24;15;9;48;71.6;5.2;6.3;4.9
2607208;1261;411;283;170;535;42.4;4.2;5.3;4.7
2607307;402;107;117;78;263;65.4;4.6;5.7;4.9
2607406;171;29;37;42;121;70.8;5.3;5.8;4.6
2607505;317;79;123;60;135;42.6;5;5.3;4.9
2607604;197;52;56;35;53;26.9;4.8;5;4.9
2607653;256;73;76;47;152;59.4;4;5;4.9
2607703;140;38;39;27;34;24.3;4.9;6.6;5.2
2607752;217;61;60;51;123;56.7;4.9;5.9;4.8
2607802;141;30;42;30;84;59.6;4.4;5.3;4
2607901;4076;1185;1330;819;804;19.7;4.6;5.5;4.5
2607950;140;50;34;25;63;45;4.8;6;5.4
2608008;194;50;56;30;115;59.3;4.4;5.7;4.7
2608057;338;78;110;87;212;62.7;4.6;5.7;5.1
2608107;353;100;96;42;235;66.6;5;5.4;5.4
2608206;153;52;37;30;64;41.8;4.1;5.3;5.7
2608255;176;41;49;25;129;73.3;4.8;6.3;5.1
2608305;210;53;61;20;143;68.1;4.8;6;5
2608404;182;56;54;19;98;53.8;4.7;5.2;4.4
2608453;184;37;60;22;130;70.7;4.8;6;4.5
2608503;180;58;45;29;76;42.2;4.3;5.3;4.7
2608602;137;29;56;21;71;51.8;5.3;6.8;5.9
2608701;160;42;59;22;70;43.8;5.3;6.2;5.1
2608750;310;67;96;64;252;81.3;4.7;5.7;4.3
2608800;539;126;170;76;323;59.9;4.8;5.5;4.9
2608909;524;125;166;115;263;50.2;5.6;5.9;5
2609006;283;66;92;55;134;47.3;4.8;5.6;5
2609105;135;30;46;22;67;49.6;5.1;6;5
2609154;258;60;75;27;129;50;4.2;5;4.3
2609204;144;42;42;18;121;84;4.3;6.6;4.4
2609303;168;43;62;36;91;54.2;5;5.8;4.3
2609402;379;128;128;77;228;60.2;4.2;5.1;5.1
2609501;257;53;93;77;122;47.5;5;5.2;5.7
2609600;2148;644;683;496;733;34.1;4.6;5.6;4.6
2609709;315;61;112;57;43;13.7;6.1;6.4;5
2609808;224;48;79;34;152;67.9;4.4;5.6;4.2
2609907;643;171;210;155;268;41.7;4.6;4.7;4.3
2610004;542;117;123;167;382;70.5;4.6;5.9;5.1
2610103;85;16;28;14;47;55.3;4.7;5.1;4.7
2610202;333;81;89;46;222;66.7;6.3;7;5.4
2610301;172;59;52;31;68;39.5;5;5.9;4.5
2610400;209;54;75;41;61;29.2;4.5;5.5;4.6
2610509;298;55;99;57;174;58.4;4.8;6;4.7
2610608;691;196;242;121;445;64.4;4.7;6;4.7
2610707;1653;483;480;441;372;22.5;4.6;5.7;4.9
2610806;237;70;92;34;103;43.5;5;5.7;4.1
2610905;882;216;339;214;460;52.2;4.8;6.4;4.7
2611002;509;125;177;102;315;61.9;4.7;5.9;4.6
2611101;3894;954;1087;944;2385;61.2;5.2;6.2;4.6
2611200;128;32;36;24;57;44.5;4.5;5.2;5
2611309;214;49;86;30;51;23.8;4;5.4;4.6
2611408;132;46;41;22;81;61.4;4.5;5.1;4.5
2611507;174;59;46;24;78;44.8;4.3;5.5;4.7
2611533;136;30;61;36;52;38.2;5.7;7;6.2
2611606;8025;2134;2126;2051;1759;21.9;4.9;5.8;4.6
2611705;282;59;110;31;150;53.2;4.8;5.5;4.9
2611804;322;84;103;63;171;53.1;5.9;7.2;4.9
2611903;275;49;77;54;188;68.4;6;8.1;5.5
2612000;100;24;33;16;38;38;5.3;7;4.5
2612109;78;16;30;15;48;61.5;5.4;6.1;6.2
2612208;701;162;193;217;248;35.4;5.3;6.2;5.1
2612307;195;56;63;34;125;64.1;4.9;7.8;4.6
2612406;246;60;72;39;91;37;4.9;5.6;4.5
2612455;224;66;52;22;143;63.8;4.7;6.6;4.1
2612471;148;36;45;27;78;52.7;5;6;4.5
2612505;913;247;269;174;414;45.3;4.8;5.6;4.6
2612554;145;33;44;27;83;57.2;3.8;5.3;3.6
2612604;638;128;218;127;352;55.2;4.4;5.9;3.8
2612703;125;38;33;19;22;17.6;4.3;5.4;4.7
2612802;119;37;33;21;71;59.7;4.6;6.4;4.9
2612901;127;36;41;21;81;63.8;4.6;5.7;4.9
2613008;494;150;138;84;320;64.8;5.4;6.1;4.9
2613107;386;104;156;69;238;61.7;4.8;5.1;4.5
2613206;231;67;69;35;146;63.2;5;5.8;4.4
2613305;162;50;48;23;64;39.5;4.6;5.7;4.9
2613404;222;65;61;48;109;49.1;4.6;4.5;4.8
2613503;366;112;108;89;170;46.4;5.2;6.2;4.9
2613602;365;78;104;73;198;54.2;5.4;6;5.6
2613701;1064;285;313;220;584;54.9;4.3;5.2;4.6
2613800;170;42;45;32;106;62.4;4.3;5.5;4.6
2613909;888;231;270;202;465;52.4;5.3;7.1;4.9
2614006;217;61;69;22;105;48.4;5.1;6;4.8
2614105;343;75;124;83;93;27.1;4.9;5.7;4.3
2614204;380;91;109;77;253;66.6;4.9;5.3;5.9
2614303;141;25;50;30;71;50.4;4.6;5.3;4.6
2614402;97;22;37;11;73;75.3;6.8;7.6;5.6
2614501;504;110;160;97;101;20;5.2;6.2;5.4
2614600;295;83;104;72;148;50.2;5.4;6.1;5.5
2614709;141;39;33;34;64;45.4;4.3;5.1;4.6
2614808;452;93;168;118;375;83;5.6;5.7;5.4
2614857;232;68;82;41;142;61.2;5.2;6;4.9
2615003;227;63;85;38;75;33;4.7;5.6;4.2
2615102;82;19;27;17;67;81.7;5.3;6.6;4.5
2615201;112;29;29;21;34;30.4;5.1;6.4;5
2615300;468;131;131;116;186;39.7;5.7;6.8;5.2
2615409;345;111;106;53;98;28.4;4.5;5.3;4.6
2615508;134;33;45;30;99;73.9;4.9;5.7;5.1
2615607;332;91;103;72;239;72;4.8;5.8;4.7
2615706;174;32;62;33;80;46;5.5;6.4;5.4
2615805;237;62;89;31;94;39.7;4.8;5.9;4.5
2615904;119;31;49;34;70;58.8;6.1;6.6;5.7
