TP_LOCALIZACAO;doc_bas;doc_vinculo_concur;doc_vinculo_contrat;doc_vinculo_terceir;doc_vinculo_clt;localizacao
1;2578581;1169901;735483;13022;38882;Urbana
2;413464;173488;232116;2881;3429;Rural
