CO_MUNICIPIO;NO_MUNICIPIO;SG_UF;doc_bas;doc_vinculo_contrat;pct_contratados
2413409;Serra Negra do Norte;RN;104;33;31.7
2414308;Timbaúba dos Batistas;RN;31;24;77.4
2400109;Acari;RN;98;30;30.6
2402402;Carnaúba dos Dantas;RN;100;10;10
2403004;Cruzeta;RN;78;14;17.9
2403103;Currais Novos;RN;699;225;32.2
2403400;Equador;RN;71;17;23.9
2405702;Jardim do Seridó;RN;127;11;8.7
2408508;Ouro Branco;RN;45;8;17.8
2408904;Parelhas;RN;366;80;21.9
2411429;Santana do Seridó;RN;35;13;37.1
2412401;São José do Seridó;RN;62;28;45.2
2401602;Bento Fernandes;RN;68;24;35.3
2409332;Santa Maria;RN;77;30;39
2405108;Jandaíra;RN;100;28;28
2405801;João Câmara;RN;571;163;28.5
2408805;Parazinho;RN;106;33;31.1
2410108;Poço Branco;RN;143;54;37.8
2401503;Barcelona;RN;56;36;64.3
2402105;Campo Redondo;RN;155;70;45.2
2402808;Coronel Ezequiel;RN;62;19;30.6
2405009;Jaçanã;RN;121;44;36.4
2405405;Japi;RN;80;23;28.8
2406403;Lagoa de Velhos;RN;53;6;11.3
2406809;Lajes Pintadas;RN;94;52;55.3
2407906;Monte das Gameleiras;RN;53;17;32.1
2411106;Ruy Barbosa;RN;48;12;25
2411205;Santa Cruz;RN;562;156;27.8
2411700;São Bento do Trairí;RN;45;7;15.6
2412302;São José do Campestre;RN;156;66;42.3
2412906;São Tomé;RN;149;71;47.7
2413300;Serra de São Bento;RN;71;32;45.1
2413706;Sítio Novo;RN;67;36;53.7
2414001;Tangará;RN;168;63;37.5
2401701;Bom Jesus;RN;139;64;46
2401800;Brejinho;RN;152;32;21.1
2404606;Ielmo Marinho;RN;181;82;45.3
2405306;Januário Cicco;RN;114;21;18.4
2406205;Lagoa d'Anta;RN;87;45;51.7
2406304;Lagoa de Pedras;RN;155;102;65.8
2406601;Lagoa Salgada;RN;176;41;23.3
2407807;Monte Alegre;RN;278;38;13.7
2408300;Nova Cruz;RN;504;107;21.2
2409100;Passa e Fica;RN;228;120;52.6
2409209;Passagem;RN;52;13;25
2410306;Serra Caiada;RN;145;58;40
2410900;Riachuelo;RN;102;47;46.1
